"bay","behavior","site_track","x","y"
"FB","none","177264_4",529796.472793624,5371327.69045182
"FB","none","177264_4",529803.081758872,5371303.23450141
"FB","none","177264_4",529809.69072412,5371278.778551
"FB","none","177264_4",529816.133242093,5371250.49559348
"FB","none","177264_4",529820.638979964,5371213.69490124
"FB","none","177264_4",529824.004438699,5371177.90786721
"FB","none","177264_4",529826.326957897,5371143.15761648
"FB","none","177264_4",529826.784077664,5371110.07755496
"FB","none","177264_4",529831.289815535,5371073.27686273
"FB","none","177264_4",529835.248600696,5371040.07117324
"FB","none","177264_4",529839.207385857,5371006.86548375
"FB","none","177264_4",529842.202481259,5370972.80302741
"FB","none","177264_4",529843.276476306,5370939.01864238
"FB","none","177264_4",529854.812268358,5370910.51399358
"FB","none","177264_4",529862.942994949,5370878.28951873
"FB","none","177264_4",529873.077179682,5370845.90039872
"FB","none","177264_4",529878.950230595,5370824.38103132
"FB","none","177264_4",529883.416386046,5370803.95594709
"FB","none","177264_4",529887.882541497,5370783.53086285
"FB","none","177264_4",529893.75559241,5370762.01149546
"FB","none","177264_4",529898.221747861,5370741.58641122
"FB","none","177264_4",529902.306133886,5370721.52937524
"FB","none","177264_4",529908.179184799,5370700.01000785
"FB","none","177264_4",529915.552871306,5370683.58629443
"FB","none","177264_4",529922.420680341,5370668.28934238
"FB","none","177264_4",529930.169757646,5370651.02950618
"FB","none","177264_4",529937.918834951,5370633.76966998
"FB","none","177264_4",529944.988244963,5370618.02368373
"FB","none","177264_4",529943.47184692,5370608.91119935
"FB","none","177264_4",529941.955448878,5370599.79871497
"FB","none","177264_4",529941.58808693,5370589.50506844
"FB","none","177264_4",529941.220724983,5370579.21142191
"FB","none","177264_4",529940.853363035,5370568.91777538
"FB","none","177264_4",529940.486001088,5370558.62412885
"FB","none","177264_4",529940.118639141,5370548.33048232
"FB","none","177264_4",529940.564897707,5370537.23214179
"FB","none","177264_4",529941.011156274,5370526.13380127
"FB","none","177264_4",529941.457414841,5370515.03546074
"FB","none","177264_4",529941.903673408,5370503.93712022
"FB","none","177264_4",529942.349931975,5370492.83877969
"FB","none","177264_4",529942.477805678,5370488.9723522
"FB","none","177264_4",529942.605679382,5370485.10592472
"FB","none","177264_4",529942.733553085,5370481.23949724
"FB","none","177264_4",529941.79408053,5370477.89479125
"FB","none","177264_4",529941.921954234,5370474.02836377
"FB","none","177264_4",529942.049827938,5370470.16193628
"FB","none","177264_4",529942.177701641,5370466.2955088
"FB","none","177264_4",529942.305575345,5370462.42908132
"FB","none","177264_4",529947.39856891,5370457.5803135
"FB","none","177264_4",529951.503090501,5370453.67261715
"FB","none","177264_4",529955.607612092,5370449.76492081
"FB","none","177264_4",529959.712133683,5370445.85722447
"FB","none","177264_4",529955.807793733,5370449.5743384
"FB","none","177264_4",529950.663457658,5370454.47198669
"FB","none","177264_4",529945.519121584,5370459.36963497
"FB","none","177264_4",529940.374785509,5370464.26728325
"FB","none","177264_4",529935.230449434,5370469.16493153
"FB","none","177264_4",529930.70843754,5370477.49471938
"FB","none","177264_4",529926.186425645,5370485.82450723
"FB","none","177264_4",529920.638096925,5370494.50670382
"FB","none","177264_4",529916.11608503,5370502.83649167
"FB","none","177264_4",529911.594073135,5370511.16627952
"FB","none","177264_4",529907.072061241,5370519.49606737
"FB","none","177264_4",529902.550049346,5370527.82585522
"FB","none","177264_4",529895.360505428,5370542.14793606
"FB","none","177264_4",529888.17096151,5370556.47001689
"FB","none","177264_4",529879.736910608,5370575.25552264
"FB","none","177264_4",529871.302859705,5370594.04102838
"FB","none","177264_4",529862.868808802,5370612.82653412
"FB","none","177264_4",529854.434757899,5370631.61203986
"FB","none","177264_4",529846.000706997,5370650.3975456
"FB","none","177264_4",529837.566656094,5370669.18305135
"FB","none","177264_4",529829.686525498,5370686.73478788
"FB","none","177264_4",529821.252474595,5370705.52029362
"FB","none","177264_4",529812.818423692,5370724.30579936
"FB","none","177264_4",529807.838608731,5370747.24234542
"FB","none","177264_4",529802.931674417,5370773.7570343
"FB","none","177264_4",529798.024740104,5370800.27172318
"FB","none","177264_4",529790.952093001,5370829.01806137
"FB","none","177264_4",529784.720554795,5370857.09477714
"FB","none","177264_4",529772.69276626,5370886.81513718
"FB","none","177264_4",529762.698169272,5370911.51153421
"FB","none","177264_4",529752.703572284,5370936.20793125
"FB","none","177264_4",529742.708975296,5370960.90432828
"FB","none","177264_4",529732.714378309,5370985.60072532
"FB","none","177264_4",529732.441317888,5371013.18298927
"FB","none","177264_4",529732.168257468,5371040.76525321
"FB","none","177264_4",529730.933287971,5371069.85110989
"FB","none","177264_4",529733.895477418,5371096.63139111
"FB","none","177264_4",529739.064915058,5371118.03460097
"FB","none","177264_4",529744.355606985,5371137.09043762
"FB","none","177264_4",529749.525044624,5371158.49364748
"FB","none","177264_4",529754.815736551,5371177.54948413
"FB","none","177264_4",529759.890401129,5371193.86478713
"FB","none","177264_4",529758.133765029,5371207.32182091
"FB","none","177264_4",529755.658489278,5371226.28412446
"FB","none","177264_4",529752.740021235,5371248.64158383
"FB","none","177264_4",529760.785116068,5371268.42935061
"FB","none","177264_4",529768.8302109,5371288.2171174
"FB","none","177264_4",529776.875305733,5371308.00488418
"FB","none","177264_4",529785.790325886,5371317.86008006
"FB","none","177264_4",529794.705346039,5371327.71527594
"FB","none","177264_4",529804.51688785,5371338.99964219
"FB","none","177264_4",529814.32842966,5371350.28400844
"FB","none","177264_4",529824.713004193,5371373.24942177
"FB","none","177264_4",529833.337503111,5371392.71410307
"FB","none","177264_4",529840.794924273,5371409.97010483
"FB","none","177264_4",529848.252345434,5371427.22610658
"FB","none","177264_4",529855.709766595,5371444.48210834
"FB","none","177264_4",529861.774017102,5371459.09000425
"FB","none","177264_4",529867.838267608,5371473.69790016
"FB","none","177264_4",529873.902518115,5371488.30579607
"FB","none","177264_4",529879.172919689,5371483.47496553
"FB","none","177264_4",529886.668409778,5371477.30629942
"FB","none","177264_4",529894.163899867,5371471.13763331
"FB","none","177264_4",529901.659389956,5371464.9689672
"FB","none","177264_4",529909.154880045,5371458.80030109
